country,city,hotel_name,hotel_address
France,Paris,H tel R de Paris Boutique Hotel,41 rue de Clichy 9th arr 75009 Paris France
France,Paris,H tel Raphael,17 Avenue Kl ber 16th arr 75016 Paris France
France,Paris,H tel Regent s Garden,6 Rue Pierre Demours 17th arr 75017 Paris France
France,Paris,H tel Regina,2 place des Pyramides 1st arr 75001 Paris France
France,Paris,H tel Saint Marc,36 Rue Saint Marc 2nd arr 75002 Paris France
France,Paris,H tel San R gis,12 Rue Jean Goujon 8th arr 75008 Paris France
France,Paris,H tel Square Louvois,12 Rue de Louvois 2nd arr 75002 Paris France
France,Paris,H tel Victor Hugo Paris Kl ber,19 Rue Copernic 16th arr 75016 Paris France
France,Paris,H tel Westminster,13 Rue De La Paix 2nd arr 75002 Paris France
France,Paris,H tel de Banville,166 Boulevard Berthier 17th arr 75017 Paris France
France,Paris,H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France
France,Paris,H tel de Lille,40 rue de Lille 7th arr 75007 Paris France
France,Paris,H tel de Varenne,44 rue de Bourgogne 7th arr 75007 Paris France
France,Paris,H tel de la Bourdonnais,111 avenue de la Bourdonnais 7th arr 75007 Paris France
France,Paris,H tel des Champs Elys es,2 Rue d Artois 8th arr 75008 Paris France
France,Paris,H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France
France,Paris,H tel du Minist re,31 Rue de Surene 8th arr 75008 Paris France
France,Paris,Holiday Inn Paris Elys es,24 Rue De Miromesnil 8th arr 75008 Paris France
France,Paris,Holiday Inn Paris Gare Montparnasse,79 81 avenue du Maine 14th arr 75014 Paris France
France,Paris,Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France
France,Paris,Holiday Inn Paris Gare de l Est,5 rue du 8 Mai 1945 10th arr 75010 Paris France
France,Paris,Holiday Inn Paris Op ra Grands Boulevards,30 32 Boulevard Poissonni re 9th arr 75009 Paris France
France,Paris,Hotel Ares Eiffel,7 rue du G n ral de Larminat 15th arr 75015 Paris France
France,Paris,Hotel Astor Saint Honor ,11 Rue d Astorg 8th arr 75008 Paris France
France,Paris,Hotel Atmospheres,29 31 rue des Ecoles 5th arr 75005 Paris France
France,Paris,Hotel Bachaumont,18 rue Bachaumont 2nd arr 75002 Paris France
France,Paris,Hotel Champs Elys es Friedland by Happyculture,177 rue du faubourg Saint Honor 8th arr 75008 Paris France
France,Paris,Hotel Claridge Paris,37 rue Fran ois 1er 8th arr 75008 Paris France
France,Paris,Hotel Des Saints Peres Esprit de France,65 rue des Saints P res 6th arr 75006 Paris France
France,Paris,Hotel Design Secret de Paris,2 Rue De Parme 9th arr 75009 Paris France
France,Paris,Hotel Duminy Vendome,3 5 rue du Mont Thabor 1st arr 75001 Paris France
France,Paris,Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France
France,Paris,Hotel Eug ne en Ville,6 rue Buffault 9th arr 75009 Paris France
France,Paris,Hotel Georgette,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France
France,Paris,Hotel Indigo Paris Opera,2 Rue Edouard VII 9th arr 75009 Paris France
France,Paris,Hotel L Antoine,10 12 rue de Charonne 11th arr 75011 Paris France
