country,city,hotel_name,hotel_address
France,Paris,Four Seasons Hotel George V Paris,31 Avenue George V 8th arr 75008 Paris France
France,Paris,Francois 1er,7 Rue Magellan 8th arr 75008 Paris France
France,Paris,Franklin Roosevelt,18 rue Clement Marrot 8th arr 75008 Paris France
France,Paris,Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France
France,Paris,Golden Tulip Bercy Gare de Lyon 209,209 211 rue de Charenton 12th arr 75012 Paris France
France,Paris,Golden Tulip Opera de Noailles,9 rue de la Michodi re 2nd arr 75002 Paris France
France,Paris,Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009 Paris France
France,Paris,H tel Ad le Jules,2 4bis Cit Rougemont 9th arr 75009 Paris France
France,Paris,H tel Aiglon Esprit de France,232 Boulevard Raspail 14th arr 75014 Paris France
France,Paris,H tel Amastan Paris,34 rue Jean Mermoz 8th arr 75008 Paris France
France,Paris,H tel Arvor Saint Georges,8 rue Laferriere 9th arr 75009 Paris France
France,Paris,H tel Beauchamps,24 rue de Ponthieu 8th arr 75008 Paris France
France,Paris,H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France
France,Paris,H tel Bel Ami,7 11 Rue Saint Benoit 6th arr 75006 Paris France
France,Paris,H tel Belloy Saint Germain By Happyculture,2 Rue Racine 6th arr 75006 Paris France
France,Paris,H tel Brighton Esprit de France,218 rue de Rivoli 1st arr 75001 Paris France
France,Paris,H tel California Champs Elys es,16 rue de Berri 8th arr 75008 Paris France
France,Paris,H tel Chaplain Paris Rive Gauche,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France
France,Paris,H tel D Aubusson,33 Rue Dauphine 6th arr 75006 Paris France
France,Paris,H tel Da Vinci Spa,25 rue des Saints P res 6th arr 75006 Paris France
France,Paris,H tel De Castiglione,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France
France,Paris,H tel De Vend me,1 Place Vend me 1st arr 75001 Paris France
France,Paris,H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France
France,Paris,H tel Duo,11 Rue Du Temple 4th arr 75004 Paris France
France,Paris,H tel Gustave,34 Rue Viala 15th arr 75015 Paris France
France,Paris,H tel Hor,160 Rue La Fayette 10th arr 75010 Paris France
France,Paris,H tel Horset Op ra Best Western Premier Collection,18 Rue d Antin 2nd arr 75002 Paris France
France,Paris,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France
France,Paris,H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France
France,Paris,H tel Le Bellechasse Saint Germain,8 Rue De Bellechasse 7th arr 75007 Paris France
France,Paris,H tel Le M,20 bis rue de la Ga t 14th arr 75014 Paris France
France,Paris,H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France
France,Paris,H tel Le Walt,37 Avenue De La Motte Picquet 7th arr 75007 Paris France
France,Paris,H tel Madison by MH,143 Boulevard Saint Germain 6th arr 75006 Paris France
France,Paris,H tel Mathis Elys es,3 rue de Ponthieu 8th arr 75008 Paris France
France,Paris,H tel Mayfair Paris,3 Rue Rouget De Lisle 1st arr 75001 Paris France
France,Paris,H tel Moli re,21 rue Moli re 1st arr 75001 Paris France
France,Paris,H tel Pont Royal,5 7 Rue De Montalembert 7th arr 75007 Paris France
France,Paris,H tel Powers,52 rue Francois 1er 8th arr 75008 Paris France
France,Paris,H tel R de Paris Boutique Hotel,41 rue de Clichy 9th arr 75009 Paris France
France,Paris,H tel Raphael,17 Avenue Kl ber 16th arr 75016 Paris France
France,Paris,H tel Regent s Garden,6 Rue Pierre Demours 17th arr 75017 Paris France
France,Paris,H tel Regina,2 place des Pyramides 1st arr 75001 Paris France
France,Paris,H tel Saint Marc,36 Rue Saint Marc 2nd arr 75002 Paris France
France,Paris,H tel San R gis,12 Rue Jean Goujon 8th arr 75008 Paris France
France,Paris,H tel Square Louvois,12 Rue de Louvois 2nd arr 75002 Paris France
France,Paris,H tel Victor Hugo Paris Kl ber,19 Rue Copernic 16th arr 75016 Paris France
France,Paris,H tel Westminster,13 Rue De La Paix 2nd arr 75002 Paris France
France,Paris,H tel de Banville,166 Boulevard Berthier 17th arr 75017 Paris France
France,Paris,H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France
France,Paris,H tel de Lille,40 rue de Lille 7th arr 75007 Paris France
France,Paris,H tel de Varenne,44 rue de Bourgogne 7th arr 75007 Paris France
France,Paris,H tel de la Bourdonnais,111 avenue de la Bourdonnais 7th arr 75007 Paris France
France,Paris,H tel des Champs Elys es,2 Rue d Artois 8th arr 75008 Paris France
France,Paris,H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France
France,Paris,H tel du Minist re,31 Rue de Surene 8th arr 75008 Paris France
France,Paris,Holiday Inn Paris Elys es,24 Rue De Miromesnil 8th arr 75008 Paris France
France,Paris,Holiday Inn Paris Gare Montparnasse,79 81 avenue du Maine 14th arr 75014 Paris France
France,Paris,Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France
France,Paris,Holiday Inn Paris Gare de l Est,5 rue du 8 Mai 1945 10th arr 75010 Paris France
France,Paris,Holiday Inn Paris Op ra Grands Boulevards,30 32 Boulevard Poissonni re 9th arr 75009 Paris France
France,Paris,Hotel Ares Eiffel,7 rue du G n ral de Larminat 15th arr 75015 Paris France
France,Paris,Hotel Astor Saint Honor ,11 Rue d Astorg 8th arr 75008 Paris France
France,Paris,Hotel Atmospheres,29 31 rue des Ecoles 5th arr 75005 Paris France
France,Paris,Hotel Bachaumont,18 rue Bachaumont 2nd arr 75002 Paris France
France,Paris,Hotel Champs Elys es Friedland by Happyculture,177 rue du faubourg Saint Honor 8th arr 75008 Paris France
France,Paris,Hotel Claridge Paris,37 rue Fran ois 1er 8th arr 75008 Paris France
France,Paris,Hotel Des Saints Peres Esprit de France,65 rue des Saints P res 6th arr 75006 Paris France
France,Paris,Hotel Design Secret de Paris,2 Rue De Parme 9th arr 75009 Paris France
France,Paris,Hotel Duminy Vendome,3 5 rue du Mont Thabor 1st arr 75001 Paris France
France,Paris,Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France
